title,ncode,userid,writer,story,length,
蒼き草原の国のカルラス　再掲載版,N6638GW,2093732,しろたに,　北の大国・リュスザン帝国の辺境で、七歳のカルラスは農家の娘として平和に暮らしていた。しかし穏やかな暮らしは突然破られる。myTextEscapeEnter　実は彼女は亡き先王の娘であり、暗殺を避けるため一時的に養家に預けられていた、リュスザン帝国の正統な王位継承者であった……。myTextEscapeEntermyTextEscapeEnter　民族紛争や宗教対立など、問題山積みの帝国を突然舵取りしなければならなくなったカルラス。幼い国王の教育を受け持つのは、太陽の娘デルフィに仕える美貌の修道士、シャリアだ。その怜悧さを買われて若干二十代にして帝国宰相を務めるシャリアは、公私ともにカルラスを支え、励ます存在となる。myTextEscapeEnter　野心に溢れる隣国の王フェザール、迫害されるサッタ人の美少女・バジャル、寡黙な武術師範・トーラ軍師長など、様々な人々に巡り会い、カルラスは成長していく。myTextEscapeEntermyTextEscapeEnter　長ずるにつれカルラスは次第にシャリアを愛するようになるが、シャリアは禁欲・貞潔を旨とする修道士であるため、女性との恋愛は許されない。myTextEscapeEnter　カルラスが恋心に悩む一方で、法王庁の高位聖職者たちはシャリアを利用してカルラスを玉座から追い落とそうと謀っていた。myTextEscapeEnter　myTextEscapeEnter　はたしてカルラスの恋は実るのか。そして帝国の行方は───？myTextEscapeEnter　myTextEscapeEnter　草洋の大帝国を統べる過酷な運命を担った、一人の少女の愛と闘いの軌跡を描く。myTextEscapeEnter,1166745,
アルファ・クロニクル　～ヤンキーじゃないあたしがＶＲゲームのテストプレイに金属バットをブッコむ話～,N6444GW,1261606,みやびつかさ,　あたしは最近ハタチになったばっかの女子大生、和泉ユウヒ（いずみゆうひ）。myTextEscapeEnter　息苦しい地元を飛び出して都会に出たのはいいものの、詐欺に遭って貯金を失い、スマホも止められ、気が付けばネカフェ暮らしに足を突っ込んでいた。myTextEscapeEntermyTextEscapeEnter　そんなおりに、スカジャン野球帽にマスクとサングラスという、ガチで怪しい女にオイシイ話を持ち掛けられた。myTextEscapeEnter　なにやら、国家プロジェクトのバーチャルリアリティーゲームのテストプレイヤーになれば、百万円が貰えるという。myTextEscapeEnter　デバッグやシステム開発への貢献によっては追加のボーナスもアリ！myTextEscapeEnter　ホテル貸し切りの超豪華なテストプレイ生活が始まり、ほかのプレイヤーを出し抜こうと一発気合を入れたんだけど、あたしを勧誘したスタッフから「プロジェクトを妨害しようとする連中がいる」と聞かされて……。myTextEscapeEntermyTextEscapeEnter　茶髪にスウェット、大事なものはダチで、好きなものはカネとエロとイケメン！myTextEscapeEnter　だけどヤンキーじゃないあたしが、国家プロジェクトのクセにアラビアンな［アルファ・クロニクル］で出逢ったのは超クセの強い奴ら。myTextEscapeEnter　初心者支援の世話焼き女に、シスコン家出少年、意識高い系男に変態トカゲ人間。myTextEscapeEnter　加えてあるじをぶん殴る美少女奴隷ＮＰＣ。myTextEscapeEnter　極めつけは医者でプログラマーでカネ持ちで外国人っぽくて美味しそうな超イケメン！myTextEscapeEnter　くせ者たちと送るテストプレイ生活。果たしてあたしは無事にボーナスがゲットできるのだろうか!?myTextEscapeEntermyTextEscapeEnter※更新日は月～金の朝８時です。,538669,
シダル　信念の勇者と親愛なる偏奇な仲間達,N5356GW,116106,綿野　明,　辺境の村の孤独な狩人が、ある日突然勇者に選ばれる。重い使命に戸惑う彼にはしかし、故郷では望んでも得られなかった「仲間」ができた。myTextEscapeEntermyTextEscapeEnter　階段を下りるだけで力尽きる神官、ぼんやりの限度を知らぬ魔法使い、生まれて初めて楽器を触る吟遊詩人、賢者は強力な魔術師……ではなく、森の塔に引きこもりの学者さん──えっ、もしかしてこれ、俺が一人で全員守るのか？　myTextEscapeEntermyTextEscapeEnter　暗く淀んだ世界を敵に追われながら笑って旅する、異色の英雄譚。　myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter◇完結まで毎朝７時更新◇　myTextEscapeEntermyTextEscapeEnter※カクヨムにも掲載しています。向こうは改行少なめです　myTextEscapeEnter※なろう版のみ挿絵あり　myTextEscapeEnter※文字数は予約分を含みます,690098,
共鳴アヴェンジホワイト,N7816GU,1821978,朝露ココア,【混沌の因果】と、【秩序の因果】が相克する世界。myTextEscapeEnter少年アルスは【混沌】の創世主から選ばれ、秩序の勢力の討滅を命じられる。myTextEscapeEnterしかし……創世主の真の意図はアルスを使い捨ての駒とし、彼に破滅を迫るものだった。myTextEscapeEnterアルスはそれを知りながらもなお、愛する者のために戦うことを決める。myTextEscapeEntermyTextEscapeEnter「僕の命が定まっているのなら、その命日が来るまでに誰よりも深く愛し合おう」myTextEscapeEntermyTextEscapeEnter緩やかに紡がれた日々、見つけた愛。myTextEscapeEnter突如として全てが崩れ去り、少年は絶望に立たされる。真の敵は一体誰なのか。myTextEscapeEntermyTextEscapeEnterご注意：本作品は主要登場人物の死亡を含みます。第２部以降、３人称視点に切り替わります。myTextEscapeEnter　　　　序盤は緩めの雰囲気で進行しますが、次第にダークな成分が増していきます。第１部では主人公の主観視点のウザさが鼻につく上、序章の説明が多い部分に辟易するかもしれませんが……第２部以降に続く大切な要素です。myTextEscapeEnter……というわけで、大きくテンプレを外れた作品ですが、興味のある方は読んでもらえると幸いです。myTextEscapeEntermyTextEscapeEnter構成──myTextEscapeEnter　　　　第１部：現代編myTextEscapeEnter　　　　第２部：過去編myTextEscapeEnter　　　　第３部：深層編myTextEscapeEnter　　　　第４部：絆編myTextEscapeEnter　　　　第５部：伝説編,562296,
ファーリートライブ（全年齢版）,N4588GU,2089228,うちだたかひろ,　物語の開始は９世紀後半。主人公レオンは皇帝バシレイオスの命を受けてイスラム帝国からシリア奪還を命じられる。アラブー東ローマ戦争の真っ最中であり、小競り合いが続いていた。彼はヴェネツィア商人マルコから物資を買い、マルコが契約を破らないように自分に同行を求める。マルコは通訳兼現地責任者という事でしぶしぶ同行に同意する。myTextEscapeEntermyTextEscapeEnter　レオン達ビザンツ帝国海軍は海戦でアッバース朝海軍を破ると海岸を見つけ上陸しようとするが、そこでアッバース朝軍の遊撃隊の猛攻を受ける。アッバース遊撃隊の右翼を担うアフマドの猛攻は凄まじく、全壊しかかる。レオン自身もアフマド本人に襲われ怪我を負う。しかしそこで大規模な砂嵐が発生し、アッバース軍は陣地に撤退する。myTextEscapeEntermyTextEscapeEnter　夜になるとアッバース軍の夜襲があり、レオンはまたしても猛将アフマドに襲われる。だがこのとき、収まっていた砂嵐が突如として盛り返し、砂嵐の中で磁場を失った空間が出来る。レオン、マルコ、アフマドの三人はこれに巻き込まれ、異世界へと転移してしまった。myTextEscapeEntermyTextEscapeEnter　三人が転移したのは農業を行う種族の村であった。言葉もわからない三人は肉体労働に従事するしかなく、３年の歳月を過ごす。だんだん言葉が話せるようになるがその過程でまず猛将アフマドがぶっ壊れてしまう。マルコは無責任で自堕落な生活に移り、自分達の生活の打開など考えもしなくなる。myTextEscapeEntermyTextEscapeEnter　レオンはぶっ壊れたアフマドとマルコを半ば強制的に連れ出し、この世界を見聞に出かける。レオンはこの世界の種族が全員同じ言語を使う事を知る。またあちこちから見つかる古代の遺跡はすべて同じ言語で書かれており、元いた世界でも作れないような超高度文明の跡を発見する。myTextEscapeEntermyTextEscapeEnter※本作品は２０１６年からピクシブで連載していたファーリートライブの筆者本人による転載である。本来は縦書きである。,930175,
聖女転生物語,N1899GT,1655008,神崎　右京,　唯一神&quot;エルム&quot;を信仰する宗教国家・クルサール。聖女と王国騎士団長の息子リツィード・ガエルは、無実の罪により宗教裁判にかけられ、磔にされて火刑に処される。王国最強の剣士として名をはせていた彼は、実は、母と同じ&quot;聖人&quot;であった。彼の無実は死とともに晴らされ、国民全員が彼の痛ましい死を悼み続けて十五年――何の因果か、可憐な美少女に転生したリツィードは、目に見える人々の幸せを守り、神の教えを説きながら、前世で残した未練を抱いて生きていた。myTextEscapeEnter　もう一度だけ、親友に会いたい――そう願って転生したのに、親友はリツィードの死後大出世して国家の英雄となり、雲の上の立場になっていた。myTextEscapeEnter　偶然の再会など絶望的。奇跡が起きて会えたところで、性別も年齢も見た目も変わってしまった以上、何も期待できない…そう思っていたのに、運命の歯車は数奇な巡り合わせで動き始める。myTextEscapeEnter　この出会いは、神の奇跡か、神罰か。myTextEscapeEntermyTextEscapeEnter※完結しました。最後までお付き合いいただいた皆様、ありがとうございました。myTextEscapeEnter※番外編二つ書きました。myTextEscapeEnter1つ目→短編【蒼い瞳の＜人形姫＞は、今日も貴方に恋をする】　エピローグ前後のお話。myTextEscapeEnter2つ目→連載【英雄カルヴァン・タイターの日常～今日も俺の嫁が最高に可愛い～】　本編終了～エピローグの間の2年間のお話。myTextEscapeEnter上部のシリーズのリンクから飛べます。どうぞよろしくお願いいたします。myTextEscapeEnter※本編のみ、カクヨムさまでも転載を始めました。まったり更新中。,578446,
孤独の魔女と独りの少女,N7340GS,2094142,徒然ナルモ,遥かな昔、凡ゆる魔術 凡ゆる法を極め抜き 老いや衰退すらも超克した最強の存在 魔女達の力で、大いなる厄災は払われ 世界は平穏を取り戻してより 、八千年 …避けられぬと思われていた滅びから世界を救った英雄 又は神として、世界は永遠を生きる七人の魔女達によって統治 管理 信仰され続けていた…myTextEscapeEntermyTextEscapeEnterそんな中 救った世界を統治せず、行方をくらませた 幻の八人目の魔女が、深い森の中で 一人の少女を弟子にとったと言うmyTextEscapeEntermyTextEscapeEnter単一で世界をひっくり返す程の力を持つ魔女が弟子など異例も異例、果たして弟子の少女は一体どのように育つのか、稀代の英雄の誕生か 或いは滅びの厄災の再演か、どちらにしても 育ってみるまで分からないmyTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnter【アルファポリスにて、同時連載しております】myTextEscapeEnter,596594,
アブないドラゴン一家の文明生活記 -世界の中心に立たされる最強ドラゴンの娘は「おまえら自重しろ」と叫びたい-,N3818GS,1334428,495,無敵のドラゴンから生まれた双子の姉ドラゴンは、生まれながらにして奇妙な知恵を身につけていた。myTextEscapeEnterいちいちヤバいドラゴンたちや愉快な人間どもからのヨイショにつっこみを入れつつ、持ち前の知恵と絶大な潜在能力を活かすことで、世界における重要な存在へと成長していく。myTextEscapeEnterその過程で知恵を持って生まれ出でたわけを知ることになるが、それは永いドラゴン生にとっては些末なことでしかない。myTextEscapeEnter赤ちゃんドラゴンの健康で文化的な最高の生活。myTextEscapeEntermyTextEscapeEnterとにかくドラゴンが中心になって活躍する場面を見たいという方にお勧め。ときどき冒険しつつ、それなりにほのぼのと暮らしていきます。myTextEscapeEntermyTextEscapeEnter全二十三話（百五十部）、約七十万字の長編。myTextEscapeEnter序章：育児部屋での説明回myTextEscapeEnter一章：メインの登場人物となる人間と出会うmyTextEscapeEnter二章：知らぬ間に有名になっていくmyTextEscapeEnter三章：大勢のドラゴンや人間たちから目を付けられるmyTextEscapeEnter終章：それはさておき、生まれつき持っていた記憶に決着をつける,715109,
False/World 世界を壊す君と神の僕と,N1934GS,1996746,土佐　牛乳,＜佐部佑の場合＞myTextEscapeEnter　世界では能力者がひそかに活動していた。myTextEscapeEnter　そんな中、一人の少年、佐部佑《さべ　たすく》が日本の能力者機関《機関》にいたのだった。myTextEscapeEnter　彼は、ロストシティーの生き残りで、彼をいわくつきの人間として扱っている組織でもあった。myTextEscapeEnter　そんな中、一人の最強の無能力者の女性によって、タスクは栄光の道を駆け上がる。myTextEscapeEntermyTextEscapeEnter――――なろうじゃなくてな俺はなるんだよ！myTextEscapeEntermyTextEscapeEnter＜天野路夜久の場合＞myTextEscapeEnter　一人の少女に認められ、もう一人の主人公が誕生した。myTextEscapeEnter　少女はスタフェリア・アブソリュータ・ウロボロウスという伝説の異能使い。myTextEscapeEnter　少女のために少年は日常を捧げる。myTextEscapeEntermyTextEscapeEnter――――僕もまたあなたに勝つという目標から、先輩のことも考慮せずしてあなたを倒します。myTextEscapeEntermyTextEscapeEnter＜大那志雄の場合＞myTextEscapeEnter　これは地球と月の存亡をかけた物語。,566980,
黒白,N1759GS,1761674,ルキア,11月13日、11時12分。見覚えのない宅配物が届いた。中に入っているのは、スマホ？カメラもないスピーカーもない、電源ボタンすらない黒い端末だった。myTextEscapeEntermyTextEscapeEnter森を彷徨っていたら魔物に襲われていた女の子を見つける。彼女も黒い端末を持っている⁉myTextEscapeEntermyTextEscapeEnter黒い端末があれば魔物も異世界も怖くない！見知らぬ宅配物から始まる2人の転移者レイと彩乃のゆるラブ異世界生活。,558518,
エーテルの夢　～夢が空を満たす二つの世界で～,N1401GS,2082358,天球とわ,魔力の代わりにナノマシンが大気を満たし、魔法の代わりに科学が高度に発達した世界。だがその科学は魔法を再現するには至らなかった。myTextEscapeEnterナノマシンの名は『エーテル』。有機物で作られ、人間と共生するそれに高い適正を持った主人公、ハル。エーテルが繋ぎ制御する社会において高い能力を持つ彼も、また科学で適わぬ魔法に夢見る一人だった。myTextEscapeEnterそんな中、クラスメイトのルナの紹介でハルはあるゲームと出会う。内容はよくあるファンタジー。魔法に憧れるハルは、そのゲームに興味を覚えプレイを開始する。その世界に満ちる魔力の名前、それもまた『エーテル』だった。myTextEscapeEnterせめて電脳空間の中だけでも魔法使いを楽しもうとするハル。だがゲーム開始直後に出会った王女アイリが切っ掛けで、そのプレイスタイルは徐々に変化していく事になる。myTextEscapeEnter二つの『エーテル』が満たす世界の物語にハルは足を踏み入れた。,647312,
異世剣聖,N0956GS,561137,鷹武手譲介,主人公の武宮士会は友人の十文字亮とともに、小さな鏡を通じて別の世界に召喚されてしまう。想い人の異界の姫・フィナと直接会えたことを喜ぶのも束の間、嵐で流された先は敵国の中！　士会はフィナを守りつつ、フィナの国、鷺を目指す。架空の戦記ものです。魔法は出てきませんが超科学がちょこっとあります。歴史小説風味。主人公が活躍し始めるまで間があります。書き溜めのあるところまでは毎日更新しますが、その後は超不定期更新に移行します。「ノベルアップ＋」様でも連載しております。,574410,
グランティル大紀行,N9357GR,622408,木村無効,　絶海の孤島に存在する凶悪犯を収監した刑務所ジャルダン。myTextEscapeEnter　そんな場所になんの落ち度もない少年リアンが送り込まれる。どうして自分がこんなところに？myTextEscapeEnter　途方に暮れるリアンだが、島の親切な人々に助けられ、島から出るまでの間をそこで過ごすことに。myTextEscapeEnter　しかし島の刑務所では、静かにある計画が進行していたのだ。myTextEscapeEntermyTextEscapeEnter　この物語は、リアンという気弱で非力な少年が、いろいろな経験を得て少しずつ成長していく過程を描写した成長物語です。,554114,
【完結】偉大なる北の魔女の正当なる血筋の後継者(以下略,N7749GR,557992,月食ぱんな,偉大なる北の魔女の森のクロエとリートフェルト王国の第二王子ルークの魔石を巡る物語。myTextEscapeEntermyTextEscapeEnter「今すぐ捨ててきなさい！！」と母に叱られたクロエは涙ながらに言い返す「いやよ、これは私が拾ったものだもん！！」まさか人間を拾うなんて。という所から始まる、ドタバタラブストーリー。myTextEscapeEntermyTextEscapeEnter「クロエ嬢が言ったんだ、本能に忠実にって」「言ったけど、時と場所を考えて」果たしてこの二人はきちんと人並みに恋愛ができるのか？myTextEscapeEntermyTextEscapeEnterそんな二人を取り巻くだいぶ個性的な面々達と最終決戦「トマトジュースの呪いになんて負けない！！」と張り切るクロエは果たして身近な世界をルークと共に闇から救えるのか。myTextEscapeEntermyTextEscapeEnterといった、コメディよりのお話です。myTextEscapeEnter全１０章と最終章。各ページ3000～6000とバラつきがあります。myTextEscapeEntermyTextEscapeEnter初投稿作品のためお見苦しい点が多々、あるとは思いますが、お楽しみいただけると幸いです。myTextEscapeEnterカクヨム様にも掲載開始しました。こちらが先行になります。完結しました。,513120,
眷属達と月のない異世界で楽園を,N6602GR,2043621,Pierrot,現代のとある高校、生徒会室に居た８人が異世界に強制召喚された挙句、召喚仲間から追放されてしまう主人公。myTextEscapeEnterこの世界には人種・エルフ種・ドワーフ種・竜人種の理知的な種族が暮らしていた。myTextEscapeEnter他にも魔物種・魔獣種・モンスターに分類される危険な生物まで生息していて、魔族の国まであった。myTextEscapeEnter放浪中、これまた強制的に精神だけを過去に飛ばされ、見知らぬ人物の頭の中で数百年も・・・・myTextEscapeEnterただ生き抜くだけの目標から『眷属捜索』と言う明確な目的が与えられる。myTextEscapeEnter異世界で仲間から追放され絶望的な孤独だった主人公が、眷属捜索の旅に出て様々な仲間を得ていくことになる。myTextEscapeEntermyTextEscapeEnterやがてエルフから譲られた大森林を開拓して領地とし、ただの集団から村へ、そして町へと成長させていく。myTextEscapeEnter主人公の奇縁体質から様々なトラブルに巻き込まれながら、仲間に助けられて成長を続けていく。myTextEscapeEnterしかし、この世界の真理に近付いたことで・・・・myTextEscapeEntermyTextEscapeEnter主人公は異世界で言えば結構強いですが、最後までチート的強さなどは身に付きません。myTextEscapeEnter探し出した７人の眷属が規格外と言う、主人公から見て他力本願的な部分が多い物語になっています。myTextEscapeEnter,1078440,
麒麟将,N6478GR,1938657,花鏡,とある青年が目覚めた世界、そこは人種至上主義が蔓延り、『人間』以外は徹底して家畜、奴隷として扱われる世界だった。myTextEscapeEntermyTextEscapeEnter※某家畜人のオマージュを大量に含みますが、最終的にはハッピーエンドになる予定ですので気長にご覧頂ければ幸いです。,542345,
世界を救ったその先で　－勇者とダメ天使の異世界記－　,N3851GR,390984,本堂ゆうき,予定調和だな、と世界を救った少年は思う。myTextEscapeEnter世界の危機を退けた事、それすなわち次は自分が畏怖を向けられるというmyTextEscapeEnter最初から予想していた展開に辟易していた勇者は召喚された地球の少年だった。myTextEscapeEntermyTextEscapeEnter真っ当な賞賛も得られず、用済みとばかりに向けられる殺意の刃。myTextEscapeEnterそれさえも予期していた少年はあっさりと逃げ延び、陰ながら助力してくれたmyTextEscapeEnter神と邂逅し、一つの提案を受けた。myTextEscapeEntermyTextEscapeEnter元の世界に帰るのも良いが、もう一度別の冒険をしてみないか？　と。myTextEscapeEntermyTextEscapeEnterどちらを選んでも神は褒美をくれるとは言った。myTextEscapeEnterけれども少年はしばし考えた後、決断する。myTextEscapeEntermyTextEscapeEnter「なら、違う世界に行ってみたいです。出来れば、今度は世界の思惑に振り回されない形で」myTextEscapeEnter「……確かに君には選択の余地が無かったのう」myTextEscapeEntermyTextEscapeEnter不憫であった少年に、神は更なるボーナスまでつける。myTextEscapeEnter世界を救った褒美だと。myTextEscapeEntermyTextEscapeEnter「この天使はお詫びに付けてあげよう。君に絶対服従の美少女天使じゃぞ」myTextEscapeEnter「性格以外は最高なんで是非とも頂きます」myTextEscapeEnter「あれ！？　一緒に旅してきたのに評価厳しくないですか！？」　myTextEscapeEntermyTextEscapeEnter色々と問題のあるダメ天使の少女と共に世界を救うという難事を成し遂げた少年が選んだ道。myTextEscapeEnterそれは今度こそ自らの意思で「冒険」する事。myTextEscapeEnter可能限りの神の助力を受けて、次こそはという希望を胸にmyTextEscapeEnter新たな世界に旅立つ少年――ジン・アオバと彼を振り回すであろうダメ天使レミィ。myTextEscapeEntermyTextEscapeEnter「うーん、気の毒だから見逃してあげたいんだけど、ボクの存在意義に関わるからね。myTextEscapeEnter　そーれ、ダイスロール」myTextEscapeEntermyTextEscapeEnter　だが、最後の最後で運命を司る神に見つかった少年と天使。myTextEscapeEnter　けれどもバカップルの二人は逞しくその道の先を進んでいくのだった。myTextEscapeEntermyTextEscapeEntermyTextEscapeEnter※　基本毎日１８時に更新します。時々休みます。,588084,
鏡の世界,N2314GR,423001,現野翔子,　高校生活が始まる前の穏やかな時間を過ごしていた花房羽衣は、ある朝、鏡の向こうの世界に入り込んでしまう。そこは同じような風景なのに見知った人のいない世界。羽衣はその世界で日常生活を送りつつ、両親の下へ帰る方法を探していく。myTextEscapeEntermyTextEscapeEntermyTextEscapeEntermyTextEscapeEnter　ノベルアップ＋にも投稿しております。,651500,
